GEO_LABEL,Bodega to Supermarket Ratio (#),Food Insecure (% of residents),Meal Gap (# of meals needed per year for food security),SNAP Benefits (% households)
Borough of the Bronx,15,17.5,46767800,37.72611703
Borough of Brooklyn,20,14.3,90993300,23.27680212
Borough of Manhattan,9,12.2,43000400,13.11132617
Borough of Queens,10,9.9,52653700,13.77155473
Borough of Staten Island,12,9,8541100,12.91977473
"NYC, New York",13,12.9,241956200,20.28063468
